task_name,id,definition,inputs,targets
task089_swap_words_verification,task089-3864efaf3f65487e81849db93116558a,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",kid A is holding a bunch of green bananas,"(1, 2)"
task1346_glue_cola_grammatical_correctness_classification,task1346-1f918c147f644d7c8d0fd6be10a0796a,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",I read that Bill had seen me.,1
task089_swap_words_verification,task089-7a3092f76f774f52bb4e7cf57faf9b4d,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A player baseball holding a bat on top of a field,"(2, 3)"
task585_preposition_classification,task585-796145cccb824ee093829dff6714f902,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: phone 
 Word2: convenience",for
task109_smsspamcollection_spamsmsdetection,task109-e149313c629b4d3eb5bf7790b3577357,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
task089_swap_words_verification,task089-2a6052815c8042949484558e6e0a96e8,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Dressed all in black carrying white a surfboard into the ocean,"(6, 7)"
task955_wiki_auto_style_transfer,task955-fe0989c5d8d54d98ab1c07c7e25a44b1,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","J2 League is the second grouping of Japan Professional Football League ( 日本フ ゚ ロサッカーリーク ゙ , Nippon Puro Sakka ̄ Ri ̄ gu ) .","The J2 League ( Japanese : J2リーク ゙ , Hepburn : J2 Ri ̄ gu ) or simply J2 is the second division of the Japan Professional Football League ( Japanese : 日本フ ゚ ロサッカーリーク ゙ , Hepburn : Nihon Puro Sakka ̄ Ri ̄ gu ) and the second level of the Japanese association football league system ."
task089_swap_words_verification,task089-91a164c44ebb43aeb16da008976aace2,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",browsing People a large market display of fresh produce,"(1, 2)"
task089_swap_words_verification,task089-31288565fe8d49829957a8205d04174d,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A black and yellow train traveling train down tracks,"(7, 8)"
task089_swap_words_verification,task089-06e50370e4a94a1f81dc19a9045b4543,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A man blowing out candles three on a cupcake,"(5, 6)"
task089_swap_words_verification,task089-a3377dadbc0540f9b4198834cc4988ac,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A hot house full of a variety potted of plants and flowers,"(8, 9)"
task109_smsspamcollection_spamsmsdetection,task109-4dfc0e29c1f84729b858f64638684a09,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",Just sent it. So what type of food do you like?,ham
task1346_glue_cola_grammatical_correctness_classification,task1346-f315f2e598cc49a38202a86e1e222ec5,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The glass cut Rachel's toe.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-2295437bf8594ff2b3e26561da0c3f9a,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The committee disliked her proposal.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-8bef757201ef4d6e827731e57a17fab7,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Who does he admire?,1
task1346_glue_cola_grammatical_correctness_classification,task1346-29195252aa8744a28f521f99a5a82d44,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",In the aquarium swam a striped fish.,1
task109_smsspamcollection_spamsmsdetection,task109-92f451ec8453450ea101a0c34aa77bde,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",I like to talk pa but am not able to. I dont know y.,ham
task089_swap_words_verification,task089-097b5eacaa924fbda5338a13e02e9e2b,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A vehicle is parked front in of beached boats arranged in neat rows,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-0595375fec3e489b9d7705991201b684,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Martha carved the piece of wood from a branch into a toy.,0
task955_wiki_auto_style_transfer,task955-68e5893eb3a444dfadc2bab5543fe1e2,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","There , man has changed landscapes and natural environment to make cities and agricultural land .","In such areas where man has fundamentally transformed landscapes such as urban settings and agricultural land conversion , the natural environment is greatly modified into a simplified human environment ."
task089_swap_words_verification,task089-e8e42b10b8394381b717cf2946edb3ab,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A red double decker bus turning a corner a down road,"(9, 10)"
task955_wiki_auto_style_transfer,task955-862f93091c89434c822dd162d1e16740,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.",The beginnings of Australia 's bush music come from the songs sung by the convicts who were sent to Australia from 1788 .,"The distinctive themes and origins of Australia 's bush music can be traced to the songs sung by the convicts who were sent to Australia during the early period of the British colonisation , beginning in 1788 ."
task089_swap_words_verification,task089-57e5a5412fa14a82b3c25fed9252f141,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",An open laptop sitting computer on top of a desk next to a keyboard,"(4, 5)"
task1346_glue_cola_grammatical_correctness_classification,task1346-8a271142fa884671b1720a6c55ad3592,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",John intimately spoke to Mary.,0
task1346_glue_cola_grammatical_correctness_classification,task1346-19cabbd6f7dc42509693acf1b9c78429,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",What a kind of actor is he?,0
task089_swap_words_verification,task089-d784bf661c264f99a8cb4e8a340cd707,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Cross country skiers a in line crossing a wide open field,"(4, 5)"
task089_swap_words_verification,task089-cd0bb346e3504b4884c7970449e7a950,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",a room that has a stove and a icebox it in,"(10, 11)"
task1346_glue_cola_grammatical_correctness_classification,task1346-4890e58a3f33455bba327d356aa8ffea,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",To go and buying whiskey is not the solution to your problem.,0
task955_wiki_auto_style_transfer,task955-7bdddd1708db4929bc5cf2318648de91,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","The Palace of Whitehall was the main home of the English kings and queens in London , from 1530 until 1698 , when all except Inigo Jones 's 1622 Banqueting House was destroyed by fire .","The Palace of Whitehall ( or Palace of White Hall ) at Westminster , Middlesex , was the main residence of the English monarchs from 1530 until 1698 , when most of its structures , except for Inigo Jones 's Banqueting House of 1622 , were destroyed by fire ."
task089_swap_words_verification,task089-54b568bbc96a461592f950f01390eeee,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A book that opened is up showing the front and back cover,"(4, 5)"
task1346_glue_cola_grammatical_correctness_classification,task1346-7b5a4529109c487e84402c12a047411c,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.",0
task089_swap_words_verification,task089-54455af79efe4a6bb2e9daf4752f8b38,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",a person that is standing on a court has that a racket,"(9, 10)"
task089_swap_words_verification,task089-58bd666eeabc483c8a7ea8c7b2df6d0d,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Two dark pieces of bread some with various toppings,"(6, 7)"
task1346_glue_cola_grammatical_correctness_classification,task1346-ba67040776054906949abeaa76794dbb,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Who ate what?,1
task109_smsspamcollection_spamsmsdetection,task109-58dde5f497084a1383250c6c18cab179,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham
task089_swap_words_verification,task089-ff29c939fcf645f5a559a7f68500121b,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A small room was made functional with light wood desk shelve bed and in the corner,"(12, 13)"
task089_swap_words_verification,task089-836ecdf6233a46848113a9e6ffe442d8,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Two taxis at stop a light in what looks like a big city,"(4, 5)"
task089_swap_words_verification,task089-830ecdf458b44259bd4a24e84759fab8,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",brown A and red bird stands on a gravestone,"(1, 2)"
task089_swap_words_verification,task089-c4b93e62fd7e4f7bb4a6e00da8d8b5d1,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",An elephant standing over another elephant with its over trunk its head,"(9, 10)"
task089_swap_words_verification,task089-f574a42694554d5cbafb240feb0eeaf0,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A person holds up a pair of scissors small,"(8, 9)"
task1346_glue_cola_grammatical_correctness_classification,task1346-c8c07376f3284a06b044607c57f6f166,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The departing passenger waved at the crowd.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-3a14f05a74894edba41599b78ab1a58e,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.","That dog is so ferocious, it even tried to bite himself.",0
task109_smsspamcollection_spamsmsdetection,task109-d9d72a079a43481c8b1f74982ec1be4a,"In this task, you're given text messages in natural language. Your task is to classify those text messages based on their content into two classes: (1) Spam and (2) Ham messages. If the content of the given message is irrelevant to the receiver or is equally relevant to many other potential recipients then it must be labeled as ‘spam’, otherwise, it should be labeled as ‘ham’.",As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam
task089_swap_words_verification,task089-b70a683e096140bca4955647407b8b82,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",Black and of white a white cat resting on a park bench,"(3, 4)"
task089_swap_words_verification,task089-f1ab23e238894d5fa230909df436d266,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",The truck has colorful a paint pattern on it,"(4, 5)"
task089_swap_words_verification,task089-9b9a0ca9490e47028d35be31facd1198,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",People a in cactus garden standing on a stone walkway,"(2, 3)"
task089_swap_words_verification,task089-77a19c23dda14a9793c1418522704501,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A office home with a black chair a computer an easy chair and a cat,"(2, 3)"
task585_preposition_classification,task585-7714499b267048c2ab13bea94fc7aaa5,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: telephone 
 Word2: convenience",for
task1346_glue_cola_grammatical_correctness_classification,task1346-be9aa54d9b0541cab0a0b8dae5022d9f,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",The kids have arrived safely.,1
task1346_glue_cola_grammatical_correctness_classification,task1346-05089e5aaf964be8b7ac74969c2c74dc,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",John's quilt has a hole in its upper right-hand corner.,1
task955_wiki_auto_style_transfer,task955-ea3cf8cc98294697aeaaab8559dab152,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.",The Fortune 500 is a list of the companies in the United States with the most revenue .,"The "" Fortune "" 500 is an annual list compiled and published by "" Fortune "" magazine that ranks 500 of the largest United States corporations by total revenue for their respective fiscal years ."
task089_swap_words_verification,task089-93d50c9135ed4b988d2f01460a62f154,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A bouquet of flowers in a water jug on post a office box,"(10, 11)"
task585_preposition_classification,task585-0c79ed96cce74eb2adb29465bb06cea0,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: hammock 
 Word2: flesh",of
task089_swap_words_verification,task089-8290d93f7faf4e12bb7173d905589034,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A close up of view a green plant with very green leaves,"(4, 5)"
task089_swap_words_verification,task089-58695cd115b44796a1a755410b5fe7d5,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A bench on sidewalk a next to plants,"(4, 5)"
task585_preposition_classification,task585-9685f787e24a4e29b9937b08f70dc9c2,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: droppings 
 Word2: bird",from
task1346_glue_cola_grammatical_correctness_classification,task1346-28c1b4f1eeaf40bca47e3688aa14a0f7,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",Carol carved the marble with a chisel.,1
task585_preposition_classification,task585-719699a7e95e4a50a8db049034eee877,"In this task, you're given an input that contains two words, and your task is to predict the correct preposition that connects these two words. Predict the preposition that explicitly conveys both words' meaning, e.g., Word1: king 
 Word2: fort: ""king of fort"". Possible prepositions are: ""of"", ""on"", ""in"", ""for"", ""from"", ""about"", and ""with"".","Word1: flow 
 Word2: disappointment",of
task089_swap_words_verification,task089-99f57a732ebf42988a31fa61fc8d36bd,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A man holding a of pair scissors in a room,"(5, 6)"
task1346_glue_cola_grammatical_correctness_classification,task1346-ec9f41415847427ea5b227aa5fc85858,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",They are readable of the paper.,0
task1346_glue_cola_grammatical_correctness_classification,task1346-84ae5e8fc3254ddcb65788d0d8f9ada2,"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.",John tapped a barrel of some wine.,1
task955_wiki_auto_style_transfer,task955-b291cd6d07084084a6166490c7712232,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","A crane is a lifting machine that has hoists , wire ropes and sheaves on it .","A crane is a type of machine , generally equipped with a hoist rope , wire ropes or chains , and sheaves , that can be used both to lift and lower materials and to move them horizontally ."
task955_wiki_auto_style_transfer,task955-29a2f59b532d4015aa2688d336b78fe9,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.",The human genome is stored on 23 chromosome pairs in the cell nucleus and in the small mitochondrial DNA .,"The human genome is the complete set of nucleic acid sequences for humans , encoded as DNA within the 23 chromosome pairs in cell nuclei and in a small DNA molecule found within individual mitochondria ."
task089_swap_words_verification,task089-7788067c0c6a44508d400270807d7ba5,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",red two cats lounging on the top of a refrigerator,"(1, 2)"
task955_wiki_auto_style_transfer,task955-4e3f18396ff04093b165967ae30db2af,"In this task, we ask you to elaborate the sentence without changing its general meaning. You can do so by explaining further the input sentence, using more precise wording, adding qualifiers and auxiliary information etc.","A Landmark decision , or Landmark court decision , establishes new precedents that establish a significant new legal principle or concept .","Landmark court decisions , in present-day common law legal systems , establish precedents that determine a significant new legal principle or concept , or otherwise substantially affect the interpretation of existing law ."
task089_swap_words_verification,task089-6a93f9c5421740cd9f5d835637f01f59,"In this task, positions of two consecutive words have been swapped. You need to output the position of the swaped words. e.g. in the sentence 'Seattle has nice a weather', the word 'a' and 'nice' have been swapped. These words are at 3rd and 4th position respectively. So, the output should be (3, 4). Note that the index of first word is 1.",A frisbee that stuck is in a tree,"(4, 5)"
